City_Name,Data,Item
LosAngeles_CPI,0.17,Meat
SanFranscisco_CPI,3.7,Fruit&Veg
Riverside_CPI,1.2,Cereals&Bakery
SanDiego_CPI,0.6,Dairy
SanFranscisco_CPI,10.42,Meat
Riverside_CPI,2.0,Meat
SanDiego_CPI,0.4,Meat
LosAngeles_CPI,0.71,Fruit&Veg
Riverside_CPI,0.6,Fruit&Veg
SanDiego_CPI,1.2,Fruit&Veg
LosAngeles_CPI,-0.72,Cereals&Bakery
SanFranscisco_CPI,4.1,Cereals&Bakery
SanDiego_CPI,-1.5,Cereals&Bakery
LosAngeles_CPI,-2.28,Dairy
SanFranscisco_CPI,3.5,Dairy
Riverside_CPI,-0.5,Dairy
SanDiego_CPI,0.6,Dairy